id,架空氏名,架空氏名読み,架空所属,架空所属読み,区分,守備位置,投げ腕,打席,身長(cm),体重(kg),Tier
fiction-2026-004,小金倉 凌樹,こがねくら りょうき,青陵大,せいりょうだい,大学生,投手,右,右,190,82,
fiction-2026-035,松浦 優輝,まつうら ゆうき,筑岳大,ちくがくだい,大学生,投手,左,左,178,85,
fiction-2026-053,杜 煌成,もり こうせい,NEX東都,ねくすとうと,社会人,投手,右,右,183,90,F
fiction-2026-062,近坂 琉唯人,ちかさか るいと,小峰双葉高,こみねふたばこう,高校生,投手,右,右,184,83,E
fiction-2026-067,高浦 鳳介,たかうら ほうすけ,遠原緑陵高,とおはらりょくりょうこう,高校生,捕手,右,右,170,75,
fiction-2026-068,髙倉 成人,たかくら なると,高岳高,こうがくこう,高校生,捕手,右,右,174,70,
fiction-2026-070,谷坂 佑眞,たにさか ゆうま,尚陽高,しょうようこう,高校生,内野手,右,右,174,71,
fiction-2026-082,加賀野 壱,かがの はじめ,県千羽高,けんせんばこう,高校生,投手,左,左,173,79,
fiction-2026-085,三杜 空,みもり そら,平丘湘晴高,ひらおかしょうせいこう,高校生,投手,右,右,185,65,
fiction-2026-090,内嶺 稜,うちみね りょう,上野南高,うえのみなみこう,高校生,投手,右,左,178,69,E
fiction-2026-091,松浦 弾,まつうら だん,上野南高,うえのみなみこう,高校生,捕手,右,右,180,84,
fiction-2026-092,岡倉 雷,おかくら らい,六峰高,ろっぽうこう,高校生,投手,右,左,174,65,
fiction-2026-095,島 武史,しま たけし,北岳高,ほくがくこう,高校生,外野手,右,右,187,92,
fiction-2026-096,工野 歩武,くの あゆむ,開晴学園高,かいせいがくえんこう,高校生,外野手,右,右,186,80,
fiction-2026-099,佐浦 大輔,さうら だいすけ,常峰大菊原高,とこみねだいきくはらこう,高校生,投手・外野手,左,左,182,71,F
fiction-2026-101,鈴杜 悠斗,すずもり ゆうと,関峰工高,せきほうこうこう,高校生,外野手,右,右,176,83,
fiction-2026-116,杜 凛也,もり りんや,鳥岳育晴高,ちょうがくいくせいこう,高校生,投手,右,左,173,74,
fiction-2026-122,北嶺 颯司,きたみね そうし,高晴商高,こうせいしょうこう,高校生,投手,右,右,182,69,
fiction-2026-128,宮野 結登,みやの ゆいと,文陵高,ぶんりょうこう,高校生,捕手,右,右,176,85,
fiction-2026-133,長杜 武造,ながもり たけぞう,日元ヘルシア南島高,にちげんへるしあなんとうこう,高校生,投手,右,右,183,85,
fiction-2026-138,川嶺 峻,かわみね しゅん,青陵大,せいりょうだい,大学生,外野手,右,右,176,79,
fiction-2026-139,斉浦 主斗,さいうら かずと,青陵大,せいりょうだい,大学生,投手,右,右,180,73,
fiction-2026-140,木倉 駿平,きくら しゅんぺい,青陵大,せいりょうだい,大学生,投手,右,右,175,82,
fiction-2026-155,加浦 空,かうら そら,明陽大,めいようだい,大学生,投手,右,右,185,86,E
fiction-2026-161,土瀬 章吾,つちせ しょうご,福沢工業大,ふくざわこうぎょうだい,大学生,投手,右,右,171,75,
fiction-2026-164,岡倉 光介,おかくら こうすけ,大浜工業大,おおはまこうぎょうだい,大学生,外野手,右,左,184,84,F
fiction-2026-168,森野 大斗,もりの だいと,花岳大,かがくだい,大学生,投手,右,右,172,65,
fiction-2026-171,木浦 永斗,きうら えいと,上峰大,かみみねだい,大学生,投手,右,右,185,91,E
fiction-2026-207,池崎 健太朗,いけざき けんたろう,クルマ自動車,くるまじどうしゃ,社会人,投手,左,左,181,82,
fiction-2026-210,尾嶺 完也,おみね かんや,アソビリンク,あそびりんく,社会人,投手,左,左,175,73,
fiction-2026-211,柿浦 晟吾,かきうら せいご,ミライテック,みらいてっく,社会人,投手,右,右,183,80,F
fiction-2026-216,後野 凌樹,うしろの りょうき,クルマ自動車,くるまじどうしゃ,社会人,投手,右,右,183,82,
fiction-2026-218,寺嶺 大志,てらみね たいし,NEX東都,ねくすとうと,社会人,投手,右,右,179,76,
fiction-2026-227,松浦 賢太,まつうら けんた,ライフコネクト,らいふこねくと,社会人,投手,左,左,177,74,
fiction-2026-232,樫野 佳帆,かしの よしほ,アソビリンク,あそびりんく,社会人,投手,右,右,166,71,F
fiction-2026-237,伊原 海也,いはら かいや,新潟ハーベスト,にいがたはーべすと,その他,投手,左,左,176,79,G
fiction-2026-241,廣瀬 新太朗,ひろせ しんたろう,静岡ウインドランナーズ,しずおかういんどらんなーず,その他,外野手,右,左,177,75,G-
fiction-2026-242,上嶺 裕輝,うえみね ゆうき,新潟ハーベスト,にいがたはーべすと,その他,外野手,右,左,182,87,F
fiction-us-2026-003,倉田 航,くらた わたる,米レイクサイド大,べいれいくさいどだい,その他,外野手,右,右,181,79,
fiction-2026-243,進坂 翔哉,しんさか しょうや,東南高,とうなんこう,高校生,外野手,右,右,175,73,
fiction-2026-244,八坂 皇輝,やさか こうき,東陽国際大昌晴高,とうようこくさいだいしょうせいこう,高校生,投手,右,右,180,75,
