"id","氏名","読み","所属","所属略称","所属読み","所属読み対象","区分","守備位置","投げ腕","打席","身長(cm)","体重(kg)","Tier","人数算入除外"
"fiction-2026-001","住瀬 壮也","すみせ そうや","北洋学園大","北洋学園大","ほくようがくえんだい","北洋学園大","大学生","投手","右","右","177","88","","false"
"fiction-2026-002","阿嶺 流斗","あみね りゅうと","八江学院大","八江学院大","やえがくいんだい","八江学院大","大学生","投手","右","右","177","74","","false"
"fiction-2026-003","角倉 楓人","かどくら ふうと","富峰大","富峰大","とみみねだい","富峰大","大学生","投手","右","左","178","79","A+","false"
"fiction-2026-004","小金倉 凌樹","こがねくら りょうき","青陵大","青陵大","せいりょうだい","青陵大","大学生","投手","右","右","190","82","","false"
"fiction-2026-005","猪杜 駿汰","いのもり しゅんた","東南福祉大","東南福祉大","とうなんふくしだい","東南福祉大","大学生","投手","右","左","185","90","C","false"
"fiction-2026-006","髙坂 侑太","たかさか ゆうた","上峰大","上峰大","かみみねだい","上峰大","大学生","投手","右","左","183","75","","false"
"fiction-2026-007","佐崎 夏希","ささき なつき","共陵大","共陵大","きょうりょうだい","共陵大","大学生","投手","左","左","182","74","","false"
"fiction-2026-008","馬野 拓斗","うまの たくと","日元体育大","日元体育大","にちげんたいいくだい","日元体育大","大学生","投手","右","右","184","82","E","false"
"fiction-2026-009","斎瀬 陽","さいせ よう","立敬大","立敬大","りっけいだい","立敬大","大学生","投手","左","左","175","78","","false"
"fiction-2026-010","宮嶺 誇太","みやみね こうた","早稲野大","早稲野大","わせのだい","早稲野大","大学生","投手","左","左","174","77","F","false"
"fiction-2026-011","渡浦 和也","わたうら かずや","慶陵義塾大","慶陵義塾大","けいりょうぎじゅくだい","慶陵義塾大","大学生","投手","左","左","180","75","B","false"
"fiction-2026-012","鈴原 泰誠","すずはら たいせい","青川学院大","青川学院大","あおかわがくいんだい","青川学院大","大学生","投手","右","右","187","79","A+","false"
"fiction-2026-013","有瀬 伽月","ありせ かづき","立晴館大","立晴館大","りっせいかんだい","立晴館大","大学生","投手","左","左","175","77","B","false"
"fiction-2026-014","宮坂 蓮","みやさか れん","近陵大","近陵大","きんりょうだい","近陵大","大学生","投手","右","右","182","88","B","false"
"fiction-2026-015","米崎 友斗","よねさき ゆうと","関南大","関南大","かんなんだい","関南大","大学生","投手","左","左","180","80","B","false"
"fiction-2026-016","星崎 世也","ほしざき せいや","大浜商業大","大浜商業大","おおはましょうぎょうだい","大浜商業大","大学生","投手","左","左","179","77","D","false"
"fiction-2026-017","渡井 凱","わたい がい","青川学院大","青川学院大","あおかわがくいんだい","青川学院大","大学生","捕手","右","右","180","88","A+","false"
"fiction-2026-018","前嶺 蘭","まえみね らん","亜洋大","亜洋大","あようだい","亜洋大","大学生","捕手","右","右","174","82","C","false"
"fiction-2026-019","西浦 啓弥","にしうら けいや","立晴館大","立晴館大","りっせいかんだい","立晴館大","大学生","捕手","右","右","180","78","E","false"
"fiction-2026-020","山倉 誉","やまくら ほまれ","亜洋大","亜洋大","あようだい","亜洋大","大学生","内野手","右","右","173","71","F","false"
"fiction-2026-021","黒杜 義伸","くろもり よしのぶ","東陽国際大","東陽国際大","とうようこくさいだい","東陽国際大","大学生","内野手","右","左","180","84","E","false"
"fiction-2026-022","榊谷 七人","さかきだに ななと","明知大","明知大","めいちだい","明知大","大学生","外野手","左","左","173","76","B","false"
"fiction-2026-023","春崎 陽斗","はるさき はると","大浜商業大","大浜商業大","おおはましょうぎょうだい","大浜商業大","大学生","外野手","右","右","177","90","F","false"
