id,架空氏名,架空所属,区分,守備位置,投げ腕,打席,身長(cm),体重(kg),Tier,確信度,推定実所属(未確定),判断根拠メモ,参照URL
fiction-2026-004,小金倉 凌樹,青陵大,大学生,投手,右,右,190,82,,unidentified,,『青陵大』に該当する実在大学（野球部を有するもの）を複数回検索したが、青山学院大学・青稜高校（高校であり区分不一致）以外に有力な候補が見つからず、190cm/82kgの右投右打投手も特定できなかった。,
fiction-2026-021,黒杜 義伸,東陽国際大,大学生,内野手,右,左,180,84,E,low,東京国際大学,東京国際大学（東京新大学野球連盟）である可能性は高いが、180cm/84kg・右投左打の内野手に一致する部員は検索で確認できなかった。,
fiction-2026-024,石野 流斗,函岳大,大学生,投手,右,右,177,95,,low,函館大学,『函岳大』は函館大学（館→岳の置換）である可能性が高いと判断。函館大学付属有斗高校出身で178cm/95kg・右投右打、ポニーリーグU-14日本代表歴あり・最速140キロの投手が同校に在籍していることを確認し、フィクションの石野流斗（177cm/95kg・右投右打・投手）と体格・投打が極めて近い。ただし検索スニペットからはこの選手の氏名を特定できなかった。,https://www.kyureki.com/univ/1/2812/; https://www.xn--8wv97xz6xo7h.online/hakodate-member/
fiction-2026-025,松瀬 徹,国際武峰大,大学生,投手,左,左,179,78,,low,国際武道大学,国際武道大学（千葉県大学野球連盟）である可能性は高いが、179cm/78kg・左投左打の投手に一致する部員は検索で確認できなかった。2026年新入部員の投手陣（岡田晄和・風戸龍・澤村輝ら）は学年が異なり該当しない。,
fiction-2026-034,春嶺 公誠,東渚九州大,大学生,投手,右,右,170,75,,low,東海大学（九州キャンパス）,『東渚』は他選手（fiction-2026-064）で『東海』への置換と確認済みであることから、『東渚九州大』は旧・九州東海大学、現在の東海大学九州キャンパス（南部九州大学野球連盟所属）である可能性が高いと判断した。ただし170cm/75kg・右投右打の投手に該当する個人は検索で特定できなかった。,https://www.kyureki.com/univ/25/3168/; https://x.com/tokai_kyushu_bb
fiction-2026-035,松浦 優輝,筑岳大,大学生,投手,左,左,178,85,,low,,『筑岳大』について筑波大学（首都大学野球連盟）を仮説として検索したが、178cm/85kg・左投左打の投手に該当する具体的な選手は確認できず、学校名の対応自体も確証が得られなかったため推定実所属は空欄のままとした。,
fiction-2026-036,直倉 進,日元大,大学生,投手,右,右,172,70,,low,日本大学,日本大学（東都大学野球連盟）である可能性は高く、岡山学芸館高校出身で172cm/70kg・右投右打の投手が在籍していることを検索で確認できたが、氏名までは特定できなかった。,http://www.tohto-bbl.com/player/playerinfo.php?UNIVID=18
fiction-2026-038,高坂 純成,大浜体育大,大学生,投手,右,右,180,77,,low,大阪体育大学,大阪体育大学（阪神大学野球連盟）である可能性は高いが、180cm/77kg・右投右打の投手に一致する部員は検索で確認できなかった。,
fiction-2026-040,岡野 啓悟,明知大,大学生,内野手,右,左,176,79,F,low,明治大学,明治大学（東京六大学野球連盟）である可能性はあるが、176cm/79kgの巴田琉碧（智弁学園出身）という近い体格の選手は投手・右投右打であり、フィクションの内野手・右投左打という条件とは一致しないため除外した。他に176cm/79kg・右投左打の内野手は確認できなかった。,
fiction-2026-053,杜 煌成,NEX東都,社会人,投手,右,右,183,90,F,unidentified,,『NEX東都』についてJR東日本（愛称N'EX）・NTT東日本を候補として検討したが、183cm/90kgの右投右打投手に該当する具体的な選手情報は得られず、裏付けを得られなかった。,
fiction-2026-062,近坂 琉唯人,小峰双葉高,高校生,投手,右,右,184,83,E,unidentified,,『小峰双葉高』について福島県立双葉高等学校を確認したが、同校は東日本大震災・原発事故の影響で2021年10月から休校中であり、2026年時点で在籍する現役ドラフト候補が存在しうる学校とは考えにくいため候補から除外した。他に対応する実在校は特定できなかった。,https://ja.wikipedia.org/wiki/%E7%A6%8F%E5%B3%B6%E7%9C%8C%E7%AB%8B%E5%8F%8C%E8%91%89%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1
fiction-2026-067,高浦 鳳介,遠原緑陵高,高校生,捕手,右,右,170,75,,unidentified,,『遠原緑陵高』に対応する実在校を『緑陵高校』『広陵高校』『緑岡高校』等の候補で検索したが、該当する実在校を裏付ける情報は得られなかった。,
fiction-2026-068,髙倉 成人,高岳高,高校生,捕手,右,右,174,70,,unidentified,,『高岳高』は高岡高等学校（富山、岡→岳の類義置換で高岡第一高と同系統）の可能性を検討したが、同校の捕手候補として172cm/63kgと180cm/75kgの2名が見つかったのみで、174cm/70kgの右投右打という条件に十分一致する選手を確認できなかった。,
fiction-2026-070,谷坂 佑眞,尚陽高,高校生,内野手,右,右,174,71,,unidentified,,『尚陽高』について尚志高校（福島）、作陽学園高校（岡山）、享栄高校（愛知）等を検討したが、174cm/71kg・右投右打の内野手という条件に合致する実在選手を確認できなかった。,
fiction-2026-071,仲崎 宏,常岳大高,高校生,投手,右,左,172,84,,low,常磐大学高等学校,『常岳大高』は実在の常磐大学高等学校（茨城県、通称・常大高、磐→岳の置換）である可能性が高いが、172cm/84kg・右投左打の投手『仲崎宏』に対応する個人は検索で確認できなかった。,https://www.kyureki.com/koko/86/1379/; https://www.tokiwa.ac.jp/~tokikou/life/activities/baseball/index.html
fiction-2026-082,加賀野 壱,県千羽高,高校生,投手,左,左,173,79,,unidentified,,「県千羽高」から県立千葉高校（通称・県千葉）を連想したが、同校が野球強豪校である裏付けや投手（左投左打・173cm/79kg）「加賀野壱」に対応する個人情報は検索で得られなかった。,
fiction-2026-084,松倉 史音,雪渓高,高校生,投手,右,右,184,77,,unidentified,,「雪渓高」に対応する実在校を特定できる手がかりが今回の再調査でも得られなかった。,
fiction-2026-085,三杜 空,平丘湘晴高,高校生,投手,右,右,185,65,,unidentified,,「平丘湘晴高」から神奈川県の平塚学園高校を連想したが、漢字の対応関係が弱く（丘→塚、湘晴→学園）、確度の高い裏付けは得られなかった。投手（185cm/65kg）「三杜空」に対応する個人も特定できなかった。,https://www.kanaloco.jp/sports/baseball/hsbaseball/article-1284468.html
fiction-2026-090,内嶺 稜,上野南高,高校生,投手,右,左,178,69,E,unidentified,,「上野南高」に対応する実在校（山梨・上野原高校等を検討）を裏付ける情報が得られず、Tier Eの投手（178cm/69kg、右投左打）「内嶺稜」の特定には至らなかった。,
